排名,电影名,描述,评分,总评论数
34,罗马假日,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...                            1953 / 美国 / 喜剧 剧情 爱情,8.9,393531人评价
35,活着,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang                            1994 / 中国大陆 香港 / 剧情 历史 家庭,9.1,274380人评价
36,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装,8.9,406132人评价
37,两杆大烟枪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran                            1998 / 英国 / 剧情 喜剧 犯罪,9.0,278252人评价
38,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...                            2009 / 美国 / 剧情 喜剧 动画 冒险,8.9,506661人评价
39,窃听风暴,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...                            2006 / 德国 / 剧情 悬疑,9.1,227547人评价
40,飞越疯人院,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...                            1975 / 美国 / 剧情,9.0,282005人评价
41,海豚湾,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...                            2009 / 美国 / 纪录片,9.3,184247人评价
42,闻香识女人,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...                            1992 / 美国 / 剧情,8.9,327250人评价
43,V字仇杀队,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,8.8,423624人评价
44,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...                            2004 / 日本 / 爱情 动画 奇幻 冒险,8.9,355332人评价
45,控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...                            1957 / 美国 / 剧情 犯罪 悬疑,9.6,90947人评价
46,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...                            1974 / 美国 / 剧情 犯罪,9.1,189931人评价
47,美丽心灵,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...                            2001 / 美国 / 传记 剧情,8.9,309079人评价
48,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,8.9,274088人评价
49,死亡诗社,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...                            1989 / 美国 / 剧情,8.9,282008人评价
50,指环王1：魔戒再现,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,8.9,306396人评价
51,情书,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...                            1995 / 日本 / 剧情 爱情,8.8,380042人评价
52,辩护人,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...                            2013 / 韩国 / 剧情,9.1,207772人评价
53,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...                            2001 / 法国 德国 / 喜剧 爱情,8.7,487099人评价
54,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...                            1984 / 意大利 美国 / 犯罪 剧情,9.1,177104人评价
55,饮食男女,导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...                            1994 / 台湾 美国 / 剧情 家庭,9.0,200680人评价
56,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...                            2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争,9.0,204897人评价
57,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...                            2016 / 美国 / 喜剧 动画 冒险,9.2,503194人评价
58,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...                            1994 / 美国 / 剧情 动画 冒险 歌舞 家庭,8.9,284356人评价
59,七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.7,439397人评价
60,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...                            2006 / 日本 / 剧情 歌舞,8.9,286056人评价
61,致命魔术,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...                            2006 / 美国 英国 / 剧情 悬疑 惊悚,8.8,346827人评价
62,小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...                            1997 / 伊朗 / 剧情 家庭 儿童,9.2,138152人评价
63,勇敢的心,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...                            1995 / 美国 / 动作 传记 剧情 历史 战争,8.8,297406人评价
64,剪刀手爱德华,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...                            1990 / 美国 / 剧情 奇幻 爱情,8.7,487342人评价
65,音乐之声,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...                            1965 / 美国 / 剧情 爱情 歌舞 家庭 传记,8.9,233412人评价
66,低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...                            1994 / 美国 / 剧情 喜剧 犯罪,8.8,336738人评价
67,素媛,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...                            2013 / 韩国 / 剧情 犯罪 家庭,9.1,178780人评价
68,本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...                            2008 / 美国 / 剧情 爱情 奇幻,8.7,395841人评价
69,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...                            1999 / 美国 澳大利亚 / 动作 科幻,8.8,282438人评价
70,沉默的羔羊,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...                            1991 / 美国 / 剧情 犯罪 惊悚,8.7,355117人评价
71,入殓师,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...                            2008 / 日本 / 剧情,8.8,320227人评价
72,拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...                            1998 / 美国 / 剧情 历史 战争,8.9,238630人评价
73,西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...                            2000 / 意大利 美国 / 剧情 战争 情色,8.7,349495人评价
74,玛丽和马克思,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...                            2009 / 澳大利亚 / 剧情 动画,8.9,232990人评价
75,蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.7,383125人评价
76,春光乍泄,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...                            1997 / 香港 日本 韩国 / 剧情 爱情 同性,8.8,246465人评价
77,让子弹飞,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...                            2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部,8.7,623910人评价
78,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...                            1997 / 美国 / 剧情,8.7,271107人评价
79,大闹天宫,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...                            1961 / 1964 / 1978 / 2004 / 中国大陆 / 动画 奇幻,9.2,98630人评价
80,幽灵公主,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...                            1997 / 日本 / 动作 爱情 战争 动画 奇幻 冒险,8.8,234962人评价
81,阳光灿烂的日子,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao                            1994 / 中国大陆 香港 / 剧情,8.7,270330人评价
82,第六感,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...                            1999 / 美国 / 剧情 悬疑 惊悚,8.8,235275人评价
83,重庆森林,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...                            1994 / 香港 / 剧情 爱情,8.6,329803人评价
84,大鱼,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...                            2003 / 美国 / 剧情 家庭 奇幻 冒险,8.7,252372人评价
85,射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...                            1993 / 香港 / 喜剧 古装,8.7,275954人评价
86,禁闭岛,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...                            2010 / 美国 / 剧情 悬疑 惊悚,8.6,358834人评价
87,甜蜜蜜,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...                            1996 / 香港 / 剧情 爱情,8.7,232396人评价
88,阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...                            2011 / 韩国 / 剧情 喜剧,8.8,267986人评价
89,上帝之城,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...                            2002 / 巴西 法国 / 犯罪 剧情,8.9,158030人评价
90,一一,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...                            2000 / 台湾 日本 / 剧情 爱情 家庭,8.9,155707人评价
91,致命ID,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet                            2003 / 美国 / 剧情 悬疑 惊悚,8.6,317831人评价
