排名,电影名,描述,评分,总评论数
148,英雄本色,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...                            1986 / 香港 / 动作 犯罪,8.6,148224人评价
149,萤火之森,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...                            2011 / 日本 / 剧情 爱情 动画 奇幻,8.7,153046人评价
150,玩具总动员3,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...                            2010 / 美国 / 喜剧 动画 奇幻 冒险,8.8,188668人评价
151,哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...                            2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,8.6,267865人评价
152,花样年华,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...                            2000 / 香港 法国 / 剧情 爱情,8.5,241888人评价
153,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...                            2013 / 韩国 / 剧情 喜剧 家庭,8.7,169872人评价
154,二十二,导演: 郭柯 Ke Guo   主演:                             2015 / 中国大陆 / 纪录片,8.8,82726人评价
155,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...                            2001 / 美国 / 剧情 家庭,8.8,100748人评价
156,人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...                            2001 / 美国 / 冒险 剧情 科幻,8.6,186534人评价
157,海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...                            2016 / 美国 / 剧情 家庭,8.6,163422人评价
158,浪潮,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 尤尔根·沃格尔 Jürgen Vogel ...                            2008 / 德国 / 剧情 惊悚,8.7,129479人评价
159,荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...                            2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,8.7,131412人评价
160,香水,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...                            2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻,8.4,270997人评价
161,冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...                            2002 / 美国 / 喜剧 动画 冒险,8.4,264785人评价
162,朗读者,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...                            2008 / 美国 德国 / 剧情 爱情,8.5,274040人评价
163,追随,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 杰里米·西奥伯德 Jeremy...                            1998 / 英国 / 犯罪 悬疑 惊悚,8.9,80243人评价
164,撞车,导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / ...                            2004 / 美国 德国 / 犯罪 剧情,8.6,171446人评价
165,小森林 冬春篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...                            2015 / 日本 / 剧情,8.9,107822人评价
166,时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格利森 Domhnall Gl...                            2013 / 英国 / 剧情 爱情 奇幻,8.6,192584人评价
167,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...                            1993 / 香港 / 喜剧 爱情 古装,8.4,313812人评价
168,罗生门,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 千秋实 ...                            1950 / 日本 / 犯罪 剧情 悬疑,8.7,121734人评价
169,心迷宫,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...                            2014 / 中国大陆 / 剧情 犯罪 悬疑,8.6,155192人评价
170,一次别离,导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 佩曼·莫阿迪 Peyman Moadi /...                            2011 / 伊朗 法国 / 剧情 家庭,8.7,129511人评价
171,超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险,8.6,357731人评价
172,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.5,287791人评价
173,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...                            2005 / 美国 法国 / 剧情 犯罪,8.5,171352人评价
174,可可西里,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...                            2004 / 中国大陆 香港 / 剧情 犯罪,8.7,126113人评价
175,梦之安魂曲,导演: 达伦·阿伦诺夫斯基 Darren Aronofsky   主演: 艾伦·伯斯汀 Ellen Bur...                            2000 / 美国 / 剧情,8.7,109483人评价
176,地球上的星星,导演: 阿米尔·汗 Aamir Khan   主演: 达席尔·萨法瑞 Darsheel Safary / 阿...                            2007 / 印度 / 剧情 儿童 家庭,8.8,81922人评价
177,碧海蓝天,导演: Luc Besson   主演: 让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...                            1988 / 法国 美国 意大利 / 剧情 爱情,8.7,106547人评价
178,未麻的部屋,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...                            1997 / 日本 / 动画 奇幻 惊悚,8.8,92949人评价
179,爆裂鼓手,导演: 达米安·沙泽勒 Damien Chazelle   主演: 迈尔斯·特勒 Miles Teller /...                            2014 / 美国 / 剧情 音乐,8.6,230273人评价
180,恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith   主演: 梅利莎·乔治 Melissa ...                            2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,8.3,311982人评价
181,秒速5厘米,导演: 新海诚 Makoto Shinkai   主演: 水桥研二 Kenji Mizuhashi / 近藤好美 ...                            2007 / 日本 / 动画 剧情 爱情,8.3,287153人评价
182,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...                            2004 / 美国 德国 / 动作 悬疑 惊悚,8.5,155328人评价
183,阿飞正传,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...                            1990 / 香港 / 犯罪 剧情 爱情,8.5,175921人评价
184,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...                            2013 / 美国 / 剧情 传记 同性,8.6,163339人评价
185,谍影重重,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...                            2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,8.5,187385人评价
186,牯岭街少年杀人事件,导演: 杨德昌 Edward Yang   主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...                            1991 / 台湾 / 剧情 犯罪,8.7,103344人评价
187,海盗电台,导演: 理查德·柯蒂斯 Richard Curtis   主演: 比尔·奈伊 Bill Nighy / 肯尼...                            2009 / 英国 德国 法国 / 剧情 喜剧 音乐,8.6,162617人评价
188,惊魂记,导演: Alfred Hitchcock   主演: Janet Leigh / Anthony Perkins / Vera Miles                            1960 / 美国 / 悬疑 惊悚 恐怖,8.8,80233人评价
189,魔女宅急便,导演: 宫崎骏 Hayao Miyazaki   主演: 高山南 / 佐久间玲 / 山口胜平                            1989 / 日本 / 动画 奇幻 冒险,8.4,188469人评价
190,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...                            2012 / 美国 / 剧情 动作 西部 冒险,8.5,253035人评价
191,再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney   主演: 凯拉·奈特莉 Keira Knightley / 马克...                            2013 / 美国 / 喜剧 爱情 音乐,8.5,161966人评价
192,东京物语,导演: 小津安二郎 Yasujirô Ozu   主演: 笠智众 Chishû Ryû / 原节...                            1953 / 日本 / 剧情 家庭,9.2,48920人评价
193,绿里奇迹,导演: Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...                            1999 / 美国 / 犯罪 剧情 奇幻 悬疑,8.7,103600人评价
194,勇闯夺命岛,导演: 迈克尔·贝 Michael Bay   主演: 肖恩·康纳利 Sean Connery / 尼古拉...                            1996 / 美国 / 动作 冒险,8.5,138633人评价
195,末路狂花,导演: 雷德利·斯科特 Ridley Scott   主演: 吉娜·戴维斯 Geena Davis / 苏...                            1991 / 美国 法国 / 犯罪 剧情 惊悚,8.7,101419人评价
196,青蛇,导演: 徐克 Hark Tsui   主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...                            1993 / 香港 / 剧情 奇幻 古装,8.4,213740人评价
197,迁徙的鸟,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...                            2001 / 法国 德国 意大利 西班牙 瑞士 / 纪录片,9.1,50941人评价
198,荒野生存,导演: 西恩·潘 Sean Penn   主演: 埃米尔·赫斯基 Emile Hirsch / 马西娅·...                            2007 / 美国 / 冒险 传记 剧情,8.6,123796人评价
199,哪吒闹海,导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   主演: 梁正晖 Zhenghui ...                            1979 / 中国大陆 / 冒险 动画 奇幻,8.8,77294人评价
200,卡萨布兰卡,导演: Michael Curtiz   主演: 亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...                            1942 / 美国 / 剧情 爱情 战争,8.6,121271人评价
201,终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron   主演: 阿诺·施瓦辛格 Arnold Schwarz...                            1991 / 美国 法国 / 动作 科幻,8.5,137031人评价
202,忠犬八公物语,导演: Seijirô Kôyama   主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...                            1987 / 日本 / 剧情,9.0,55237人评价
203,这个男人来自地球,导演: 理查德·沙因克曼 Richard Schenkman   主演: 大卫·李·史密斯 David ...                            2007 / 美国 / 剧情 科幻,8.5,173416人评价
204,变脸,导演: 吴宇森 John Woo   主演: 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...                            1997 / 美国 / 动作 科幻 犯罪 惊悚,8.4,208478人评价
205,源代码,导演: 邓肯·琼斯 Duncan Jones   主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...                            2011 / 美国 加拿大 / 剧情 动作 科幻 犯罪 惊悚,8.3,397978人评价
206,燕尾蝶,导演: 岩井俊二 Shunji Iwai   主演: 三上博史 / 恰拉 / 伊藤步                            1996 / 日本 / 犯罪 剧情,8.6,105882人评价
207,新龙门客栈,导演: 李惠民 Raymond Lee   主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...                            1992 / 香港 中国大陆 / 剧情 动作 武侠 古装,8.4,177242人评价
208,英国病人,导演: 安东尼·明格拉 Anthony Minghella   主演: 拉尔夫·费因斯 Ralph Fien...                            1996 / 美国 英国 / 爱情 剧情 战争,8.4,170290人评价
209,黑客帝国3：矩阵革命,导演: Andy Wachowski / Larry Wachowski   主演: Keanu Reeves / Laurence F...                            2003 / 美国 澳大利亚 / 动作 科幻,8.5,150344人评价
210,黄金三镖客,导演: Sergio Leone   主演: Clint Eastwood / Eli Wallach / Lee Van Cleef                            1966 / 意大利 西班牙 西德 / 冒险 西部,9.1,49728人评价
211,E.T. 外星人,导演: Steven Spielberg   主演: Henry Thomas / Dee Wallace / Robert MacNa...                            1982 / 美国 / 剧情 科幻,8.5,148170人评价
212,发条橙,导演: Stanley Kubrick   主演: Malcolm McDowell / Patrick Magee / Michael...                            1971 / 英国 美国 / 犯罪 剧情 科幻,8.4,181499人评价
213,城市之光,导演: Charles Chaplin   主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...                            1931 / 美国 / 喜剧 剧情 爱情,9.2,41988人评价
214,美国丽人,导演: 萨姆·门德斯 Sam Mendes   主演: 凯文·史派西 Kevin Spacey / 安妮特...                            1999 / 美国 / 剧情 爱情 家庭,8.4,180044人评价
215,叫我第一名,导演: 彼得·维纳 Peter Werner   主演: 詹姆斯·沃克 James Wolk / 特里特·...                            2008 / 美国 / 剧情 传记,8.6,105795人评价
216,无耻混蛋,导演: Quentin Tarantino   主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...                            2009 / 美国 德国 / 剧情 犯罪,8.4,217203人评价
217,穆赫兰道,导演: 大卫·林奇 David Lynch   主演: 娜奥米·沃茨 Naomi Watts / 劳拉·哈...                            2001 / 法国 美国 / 剧情 悬疑 惊悚,8.3,228145人评价
218,非常嫌疑犯,导演: 布莱恩·辛格 Bryan Singer   主演: 史蒂芬·鲍德温 Stephen Baldwin /...                            1995 / 德国 美国 / 剧情 犯罪 悬疑 惊悚,8.6,112772人评价
219,初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...                            2010 / 泰国 / 剧情 喜剧 爱情,8.2,444586人评价
220,模仿游戏,导演: 莫腾·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...                            2014 / 英国 美国 / 剧情 传记 战争 同性,8.5,244986人评价
221,勇士,导演: 加文·欧康诺 Gavin O'Connor   主演: 汤姆·哈迪 Tom Hardy / 乔尔·...                            2011 / 美国 / 剧情 运动 家庭,8.9,85351人评价
222,上帝也疯狂,导演: Jamie Uys   主演: Marius Weyers / Sandra Prinsloo / N!xau                            1980 / 博茨瓦纳 南非 / 喜剧,8.6,93434人评价
223,蓝色大门,导演: 易智言 Chih-yen Yee   主演: 陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...                            2002 / 台湾 法国 / 剧情 爱情 同性,8.3,267206人评价
224,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            2013 / 美国 / 剧情 爱情,8.8,110756人评价
225,无敌破坏王,导演: 瑞奇·莫尔 Rich Moore   主演: 约翰·C·赖利 John C. Reilly / 萨拉...                            2012 / 美国 / 喜剧 动画 奇幻 冒险,8.6,178876人评价
226,爱·回家,导演: 李廷香 Jeong-hyang Lee   主演: 金艺芬 Eul-boon Kim / 俞承豪 Seung-...                            2002 / 韩国 / 剧情 家庭,9.0,45921人评价
227,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson   主演: 布丽·拉尔森 Brie Larson...                            2015 / 爱尔兰 加拿大 / 剧情 家庭,8.8,142399人评价
228,血钻,导演: 爱德华·兹威克 Edward Zwick   主演: 莱昂纳多·迪卡普里奥 Leonardo ...                            2006 / 美国 德国 / 剧情 惊悚 冒险,8.5,126031人评价
229,大卫·戈尔的一生,导演: Alan Parker   主演: 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...                            2003 / 美国 德国 英国 / 剧情 犯罪 悬疑,8.6,87851人评价
230,国王的演讲,导演: 汤姆·霍珀 Tom Hooper   主演: 柯林·菲尔斯 Colin Firth / 杰弗里·...                            2010 / 英国 澳大利亚 美国 / 剧情 传记 历史,8.3,327911人评价
231,枪火,导演: 杜琪峰 Johnnie To   主演: 吴镇宇 Francis Ng / 任达华 Simon Yam / ...                            1999 / 香港 / 剧情 动作 犯罪,8.6,96250人评价
232,疯狂的石头,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin                            2006 / 中国大陆 香港 / 喜剧 犯罪,8.2,300837人评价
233,头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...                            2015 / 美国 / 喜剧 动画 冒险,8.7,212050人评价
234,麦兜故事,导演: 袁建滔 Toe Yuen   主演: 李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng                            2001 / 香港 / 剧情 喜剧 动画,8.5,123786人评价
235,曾经,导演: 约翰·卡尼 John Carney   主演: 格伦·汉塞德 Glen Hansard / 玛可塔...                            2007 / 爱尔兰 / 剧情 音乐 爱情,8.3,197840人评价
236,暖暖内含光,导演: 米歇尔·冈瑞 Michel Gondry   主演: 金·凯瑞 Jim Carrey / 凯特·温...                            2004 / 美国 / 剧情 爱情 奇幻,8.4,140154人评价
237,千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...                            1997 / 美国 / 剧情 科幻,8.7,81695人评价
238,遗愿清单,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...                            2007 / 美国 / 冒险 喜剧 剧情,8.5,122018人评价
239,荒岛余生,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...                            2000 / 美国 / 冒险 剧情,8.5,128131人评价
240,蝴蝶,导演: 菲利普·穆伊尔 Philippe Muyl   主演: 米歇尔·塞罗 Michel Serrault ...                            2002 / 法国 / 剧情 儿童 喜剧,8.6,93092人评价
241,巴黎淘气帮,导演: Laurent Tirard   主演: 马克西姆·戈达尔 Maxime Godart / 瓦莱丽·勒...                            2009 / 法国 比利时 / 儿童 喜剧 家庭,8.6,102298人评价
242,与狼共舞,导演: Kevin Costner   主演: Kevin Costner / Mary McDonnell / Graham Greene                            1990 / 美国 / 冒险 剧情 西部,8.9,54553人评价
243,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...                            2013 / 美国 英国 / 科幻 悬疑 惊悚,8.4,164346人评价
244,月球,导演: 邓肯·琼斯 Duncan Jones   主演: 山姆·洛克威尔 Sam Rockwell / 凯文...                            2009 / 英国 / 剧情 科幻 悬疑,8.5,138785人评价
245,步履不停,导演: 是枝裕和 Hirokazu Koreeda   主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...                            2008 / 日本 / 剧情 家庭,8.8,63451人评价
246,我爱你,导演: 秋昌民 Chang-min Choo   主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...                            2011 / 韩国 / 剧情 爱情,9.0,53791人评价
247,偷拐抢骗,导演: 盖·里奇 Guy Ritchie   主演: 布拉德·皮特 Brad Pitt / 本尼西奥·德...                            2000 / 英国 美国 / 喜剧 犯罪,8.5,112760人评价
248,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...                            2015 / 瑞典 / 剧情,8.7,103941人评价
249,夜访吸血鬼,导演: 尼尔·乔丹 Neil Jordan   主演: 布拉德·皮特 Brad Pitt / 汤姆·克鲁...                            1994 / 美国 / 剧情 奇幻 惊悚,8.3,192190人评价
250,寿司之神,导演: 大卫·贾柏 David Gelb   主演: 小野二郎  Jiro Ono / 小野祯一 Yoshik...                            2011 / 美国 / 纪录片,8.8,79373人评价
